Date,Algorithm,Test,Time
2025-04-27,LRTA*,easy_map1.yaml,0.0
2025-04-27,LRTA*,easy_map2.yaml,0.0
2025-04-27,LRTA*,hard_map1.yaml,0.027
2025-04-27,LRTA*,hard_map2.yaml,0.01
2025-04-27,LRTA*,large_map1.yaml,0.231
2025-04-27,LRTA*,large_map2.yaml,0.47
2025-04-27,LRTA*,medium_map1.yaml,0.0
2025-04-27,LRTA*,medium_map2.yaml,0.07
2025-04-27,LRTA*,super_hard_map1.yaml,0.53
2025-04-27,SA,easy_map1.yaml,0.03
2025-04-27,SA,easy_map2.yaml,0.01
2025-04-27,SA,hard_map1.yaml,0.297
2025-04-27,SA,hard_map2.yaml,0.133
2025-04-27,SA,large_map1.yaml,0.812
2025-04-27,SA,large_map2.yaml,0.0
2025-04-27,SA,medium_map1.yaml,0.0
2025-04-27,SA,medium_map2.yaml,2.69
2025-04-27,SA,super_hard_map1.yaml,4.384
